assertion_id,passed,detail
A14,True,PASS: D0_CLEAN_CONTROL/seed=42: evidence invalidity does not trigger reconstruction | PASS: D0_CLEAN_CONTROL/seed=99: evidence invalidity does not trigger reconstruction | PASS: D0_CLEAN_CONTROL/seed=500: evidence invalidity does not trigger reconstruction | PASS: D0_CLEAN_CONTROL/seed=777: evidence invalidity does not trigger reconstruction
A15,True,PASS: D0_CLEAN_CONTROL/seed=42: hard-revocation assertion not applicable | PASS: D0_CLEAN_CONTROL/seed=99: hard-revocation assertion not applicable | PASS: D0_CLEAN_CONTROL/seed=500: hard-revocation assertion not applicable | PASS: D0_CLEAN_CONTROL/seed=777: hard-revocation assertion not applicable
A16,True,PASS: D0_CLEAN_CONTROL/seed=42: hard-revocation counter assertion not applicable | PASS: D0_CLEAN_CONTROL/seed=99: hard-revocation counter assertion not applicable | PASS: D0_CLEAN_CONTROL/seed=500: hard-revocation counter assertion not applicable | PASS: D0_CLEAN_CONTROL/seed=777: hard-revocation counter assertion not applicable
A17,True,PASS: D0_CLEAN_CONTROL/seed=42: D1 assertion not applicable | PASS: D0_CLEAN_CONTROL/seed=99: D1 assertion not applicable | PASS: D0_CLEAN_CONTROL/seed=500: D1 assertion not applicable | PASS: D0_CLEAN_CONTROL/seed=777: D1 assertion not applicable
A18,True,PASS: D0_CLEAN_CONTROL/seed=42: persistent-soft assertion not applicable | PASS: D0_CLEAN_CONTROL/seed=99: persistent-soft assertion not applicable | PASS: D0_CLEAN_CONTROL/seed=500: persistent-soft assertion not applicable | PASS: D0_CLEAN_CONTROL/seed=777: persistent-soft assertion not applicable
A19,True,PASS: D0_CLEAN_CONTROL/seed=42: restoration requirement vacuously true before first non-admissible state | PASS: D0_CLEAN_CONTROL/seed=99: restoration requirement vacuously true before first non-admissible state | PASS: D0_CLEAN_CONTROL/seed=500: restoration requirement vacuously true before first non-admissible state | PASS: D0_CLEAN_CONTROL/seed=777: restoration requirement vacuously true before first non-admissible state
A20,True,PASS: D0_CLEAN_CONTROL/seed=42: new invalidity/degradation/failure resets K_RESTORE | PASS: D0_CLEAN_CONTROL/seed=99: new invalidity/degradation/failure resets K_RESTORE | PASS: D0_CLEAN_CONTROL/seed=500: new invalidity/degradation/failure resets K_RESTORE | PASS: D0_CLEAN_CONTROL/seed=777: new invalidity/degradation/failure resets K_RESTORE
A21,True,PASS: D0_CLEAN_CONTROL/seed=42: first_failed_invariant follows canonical order | PASS: D0_CLEAN_CONTROL/seed=99: first_failed_invariant follows canonical order | PASS: D0_CLEAN_CONTROL/seed=500: first_failed_invariant follows canonical order | PASS: D0_CLEAN_CONTROL/seed=777: first_failed_invariant follows canonical order
A22,True,PASS: D0_CLEAN_CONTROL/seed=42: primary matched keys identical | PASS: D0_CLEAN_CONTROL/seed=99: primary matched keys identical | PASS: D0_CLEAN_CONTROL/seed=500: primary matched keys identical | PASS: D0_CLEAN_CONTROL/seed=777: primary matched keys identical
A23,True,PASS: D0_CLEAN_CONTROL/seed=42: every reported eligible instance requalified before fixed onset | PASS: D0_CLEAN_CONTROL/seed=99: every reported eligible instance requalified before fixed onset | PASS: D0_CLEAN_CONTROL/seed=500: every reported eligible instance requalified before fixed onset | PASS: D0_CLEAN_CONTROL/seed=777: every reported eligible instance requalified before fixed onset
A24,True,PASS: D0_CLEAN_CONTROL/seed=42: C/D route state identical before first shape denial | PASS: D0_CLEAN_CONTROL/seed=99: C/D route state identical before first shape denial | PASS: D0_CLEAN_CONTROL/seed=500: C/D route state identical before first shape denial | PASS: D0_CLEAN_CONTROL/seed=777: C/D route state identical before first shape denial
A25,True,PASS: D0_CLEAN_CONTROL/seed=42: arm outcomes cannot mutate shared structural stream | PASS: D0_CLEAN_CONTROL/seed=99: arm outcomes cannot mutate shared structural stream | PASS: D0_CLEAN_CONTROL/seed=500: arm outcomes cannot mutate shared structural stream | PASS: D0_CLEAN_CONTROL/seed=777: arm outcomes cannot mutate shared structural stream
A26,True,PASS: verdict branch self-test 7/7
